SMILES,MHFP,first_class,second_class,type,num_id,chain_type,carbon_chain_length,ring_size,functional_group,CF2,CF3,CFX,cf_length,group_id,predicted_toxicity,Uncertainty
O=C(CC(C(=O)OCC(F)(F)C(F)(F)F)S(=O)(=O)O)OCC(F)(F)C(F)(F)F,[ 19469312 113009692  17313015 ... 272476183 236443767  21751268],Polyfluoroalkyl acids,PolyFCA derivatives,3,909,straight,10.0,,Ester,2,2,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_straight_10.0_Ester_NA_CF2_2_CF3_2_CFX_0,2.2569227,0.24918436
O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[174296072  88536630  14985936 ... 155853978  31600839 151237944],PFAAs,PFSIAs,1,910,straight,6.0,,Sulfoxide,5,1,0,6,PFAAs_PFSIAs_straight_6.0_Sulfoxide_NA_CF2_5_CF3_1_CFX_0,4.0011024,0.2671392
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C1(F)F,[250618452  21086568 107816900 ...  88808901 281920279 151237944],"Other PFASs, cyclic","Perfluoroalkanes, cyclic",4,911,cyclic,,6.0,None,4,2,2,8,"Other PFASs, cyclic_Perfluoroalkanes, cyclic_cyclic_NA_Unknown_6.0_CF2_4_CF3_2_CFX_2",3.0068254,0.25314873
C=CC(=O)OCCN(C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 171882282  31798551  27743636],Polyfluoroalkyl acids,PolyFCA derivatives,3,912,straight,16.0,,Ester,7,1,0,8,Polyfluoroalkyl acids_PolyFCA derivatives_straight_16.0_Ester_NA_CF2_7_CF3_1_CFX_0,2.5124538,0.16422468
CCC(C)S(=O)(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C,[ 31840531  18331056   1296327 ...  63751395  51061831 233420030],Other PFASs,Aromatic PFASs,4,913,cyclic,,6.0,Carboxylic Acid,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Carboxylic Acid_6.0_CF2_0_CF3_2_CFX_1,2.1885917,0.21488659
CCCCCCC(F)(F)C(F)(F)C(F)(F)F,[250618452 245019154 107816900 ...  16631887 281920279 151237944],PFAA precursors,HFCs,2,914,straight,9.0,,None,2,1,0,3,PFAA precursors_HFCs_straight_9.0_Unknown_NA_CF2_2_CF3_1_CFX_0,2.113917,0.25229445
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(I)C(F)(F)F,[ 39782696 104111782  97181807 ...  39995804 281920279 151237944],PFAA precursors,PFAIs,2,915,straight,7.0,,Halogen,4,2,1,7,PFAA precursors_PFAIs_straight_7.0_Halogen_NA_CF2_4_CF3_2_CFX_1,2.0621254,0.250609
C=CC(=O)NC(C)(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,[ 90418993 309126821 107816900 ... 186951331  94972823  63887868],Polyfluoroalkyl acids,PolyFCA derivatives,3,916,branched,11.0,,Ester,3,1,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_branched_11.0_Ester_NA_CF2_3_CF3_1_CFX_0,4.36967,0.23022063
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,[ 78558515 115150703 107816900 ...  52063218  43796935 145874996],"Other PFASs, cyclic","others, cyclic",4,917,cyclic,,3.0,Ether,8,2,1,11,"Other PFASs, cyclic_others, cyclic_cyclic_NA_Ether_3.0_CF2_8_CF3_2_CFX_1",4.491987,0.26136854
CCCCCCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,2,918,straight,16.0,,Double bond,5,1,0,6,PFAA precursors_SFAenes_straight_16.0_Unknown_NA_CF2_5_CF3_1_CFX_0,2.5176408,0.25259078
Cc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1SCC(C)C,[ 52793636  49018156  63360499 ...  63751395 401747255 195217154],Other PFASs,Aromatic PFASs,4,919,cyclic,,6.0,Carboxylic Acid,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Carboxylic Acid_6.0_CF2_0_CF3_2_CFX_1,3.1271794,0.25761223
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  17313015 ... 155853978 281920279 151237944],PFAA precursors,PASFs,2,920,straight,7.0,,Sulfone,6,1,0,7,PFAA precursors_PASFs_straight_7.0_Sulfone_NA_CF2_6_CF3_1_CFX_0,3.4009101,0.25961292
FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,[187774998  96266790  33612732 ... 139832924  21348103 124993638],Other PFASs,Polyfluoroalkanes,4,921,straight,6.0,,Halogen,6,0,0,6,Other PFASs_Polyfluoroalkanes_straight_6.0_Halogen_NA_CF2_6_CF3_0_CFX_0,2.2186098,0.25560656
CC(COCC(C)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[113638662 113198101 107816900 ...  88808901  43796935 151237944],PFAA precursors,PolyFEACs,2,922,branched,34.0,,Alcohol,16,4,2,22,PFAA precursors_PolyFEACs_branched_34.0_Alcohol_NA_CF2_16_CF3_4_CFX_2,7.1459618,0.26226547
C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  87855067 ...   1095206  99703927  88906274],Polyfluoroalkyl acids,PolyFCA derivatives,3,923,straight,8.0,,Ester,3,1,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_straight_8.0_Ester_NA_CF2_3_CF3_1_CFX_0,4.8485546,0.2790706
O=S(=O)(N1CCNCC1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 90362490  33988699  17313015 ... 116310643 138388023 151237944],"PFAA precursors, cyclic","PASF-based substances, cyclic",2,924,cyclic,,6.0,Amine,7,1,0,8,"PFAA precursors, cyclic_PASF-based substances, cyclic_cyclic_NA_Amine_6.0_CF2_7_CF3_1_CFX_0",4.9870415,0.26582614
O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[207530443  71278405  95504826 ...  88808901  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,925,branched,14.0,,Alcohol,8,2,1,11,PFAA precursors_n:2 fluorotelomer-based substances_branched_14.0_Alcohol_NA_CF2_8_CF3_2_CFX_1,3.1827188,0.23139484
O=S(=O)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,[156871382  71013085  13956772 ... 253630925 101031895 174175058],Other PFASs,PFPEs,4,926,straight,4.0,,Ether,3,0,1,4,Other PFASs_PFPEs_straight_4.0_Ether_NA_CF2_3_CF3_0_CFX_1,2.686881,0.25400272
C/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 69207293 104111782  97181807 ... 330153186  14046279 151237944],PFAA precursors,SFAenes,2,927,straight,9.0,,Double bond,5,1,0,6,PFAA precursors_SFAenes_straight_9.0_Unknown_NA_CF2_5_CF3_1_CFX_0,2.475104,0.25539756
CN(C)CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  17313015 ...  90105790 138388023 151237944],PFAA precursors,PASF-based substances,2,928,straight,14.0,,Alcohol,5,1,0,6,PFAA precursors_PASF-based substances_straight_14.0_Alcohol_NA_CF2_5_CF3_1_CFX_0,3.7905192,0.21990585
FC(F)(F)OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F,[   853465   9635651 232751249 ... 291431448  69108455  70269816],PFAA precursors,HFEs,2,929,straight,5.0,,Ether,1,3,1,5,PFAA precursors_HFEs_straight_5.0_Ether_NA_CF2_1_CF3_3_CFX_1,2.965331,0.23083532
CCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070   5065065  97181807 ... 200578621  14046279 151237944],PFAA precursors,SFAenes,2,930,straight,15.0,,Double bond,5,1,0,6,PFAA precursors_SFAenes_straight_15.0_Unknown_NA_CF2_5_CF3_1_CFX_0,2.5136113,0.2518724
O=C(OCC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  73299756  87855067 ... 291378977 114499767  46460802],Polyfluoroalkyl acids,PolyFCA derivatives,3,931,straight,8.0,,Ester,4,2,0,6,Polyfluoroalkyl acids_PolyFCA derivatives_straight_8.0_Ester_NA_CF2_4_CF3_2_CFX_0,3.161198,0.2609544
O=C(Nc1ccccn1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ...  17799215  23638503  71007262],Other PFASs,Aromatic PFASs,4,932,cyclic,,6.0,Ether,3,3,2,8,Other PFASs_Aromatic PFASs_cyclic_NA_Ether_6.0_CF2_3_CF3_3_CFX_2,6.778217,0.2928116
O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[207530443  71278405  95504826 ...  88808901  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,933,branched,18.0,,Alcohol,12,2,1,15,PFAA precursors_n:2 fluorotelomer-based substances_branched_18.0_Alcohol_NA_CF2_12_CF3_2_CFX_1,3.8190336,0.2304898
CCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,934,straight,29.0,,None,8,1,0,9,PFAA precursors_HFCs_straight_29.0_Unknown_NA_CF2_8_CF3_1_CFX_0,3.2677624,0.25896624
CCCCCCCCCCCCCCCOc1cccc(OC(CC)C(=O)Nc2cc(O)c(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc2OC(F)(F)C(F)Cl)c1,[ 54297102   8492060 107816900 ...  54552999  89616967 151237944],Other PFASs,Aromatic PFASs,4,935,cyclic,,6.0,Ether,3,1,1,5,Other PFASs_Aromatic PFASs_cyclic_NA_Ether_6.0_CF2_3_CF3_1_CFX_1,1.9079813,0.1326655
FC(F)C(F)(F)C(F)(F)C(F)(F)CCSSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[109716666  49018156  97181807 ... 286019159 240371511 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,936,straight,12.0,,Disulfide,7,1,0,8,PFAA precursors_n:2 fluorotelomer-based substances_straight_12.0_Disulfide_NA_CF2_7_CF3_1_CFX_0,1.9147942,0.21984959
CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,937,straight,21.0,,None,11,1,0,12,PFAA precursors_HFCs_straight_21.0_Unknown_NA_CF2_11_CF3_1_CFX_0,3.702884,0.25032598
FC(F)(F)C(F)(F)C(F)(F)c1nnnn1-c1ccccc1,[ 13458306 204172669 107816900 ... 215679073   2418823 151237944],Other PFASs,Aromatic PFASs,4,938,cyclic,,5.0,Aromatic,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_5.0_CF2_2_CF3_1_CFX_0,1.9772598,0.2297718
CCC(C)(O)C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[109264537 104111782  78176126 ...  78481900  50021223 151237944],Other PFASs,others,4,939,branched,10.0,,Alcohol,3,1,0,4,Other PFASs_others_branched_10.0_Alcohol_NA_CF2_3_CF3_1_CFX_0,2.1463137,0.23959878
Cc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452  44409534  17313015 ... 253630925  49046199  29302852],Other PFASs,Aromatic PFASs,4,940,cyclic,,6.0,Sulfonate Ester,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Sulfonate Ester_6.0_CF2_3_CF3_1_CFX_0,2.8271987,0.25784308
C=C(C(=O)OCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  14316170 ... 291378977 177176215  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,3,941,branched,9.0,,Ester,3,1,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_branched_9.0_Ester_NA_CF2_3_CF3_1_CFX_0,1.964185,0.22802189
F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[250618452 104111782  97181807 ...  65874932 281920279  57020380],PFAA precursors,PFAenes,2,942,straight,8.0,,Double bond,4,2,2,8,PFAA precursors_PFAenes_straight_8.0_Unknown_NA_CF2_4_CF3_2_CFX_2,2.5751925,0.25435922
FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,[382936924  51956133  62348548 ... 176961017 101296679 115885840],"Other PFASs, cyclic","PFPEs, cyclic",4,943,cyclic,,6.0,Ether,4,1,0,5,"Other PFASs, cyclic_PFPEs, cyclic_cyclic_NA_Ether_6.0_CF2_4_CF3_1_CFX_0",1.6312679,0.18741035
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C2(F)F)C1(F)F,[250618452  21086568 107816900 ...  88808901 153496343 151237944],"Other PFASs, cyclic","Perfluoroalkanes, cyclic",4,944,cyclic,,6.0,None,8,2,4,14,"Other PFASs, cyclic_Perfluoroalkanes, cyclic_cyclic_NA_Unknown_6.0_CF2_8_CF3_2_CFX_4",3.9055815,0.25270584
C=CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[118684057  33988699  17313015 ... 136323818  90036311  29302852],PFAA precursors,PASF-based substances,2,945,straight,7.0,,Amine,3,1,0,4,PFAA precursors_PASF-based substances_straight_7.0_Amine_NA_CF2_3_CF3_1_CFX_0,3.3582802,0.2634834
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...  37687752 281920279 151237944],PFAAs,PFCAs,1,946,straight,12.0,,Carboxylic Acid,10,1,0,11,PFAAs_PFCAs_straight_12.0_Carboxylic Acid_NA_CF2_10_CF3_1_CFX_0,3.6028657,0.2541721
FC(F)=C(F)C(F)(F)C(F)(F)C1(F)OC1(F)F,[250618452  41342666 107816900 ...  65874932 101296679 151237944],"Other PFASs, cyclic","others, cyclic",4,947,cyclic,,3.0,Ether,4,0,2,6,"Other PFASs, cyclic_others, cyclic_cyclic_NA_Ether_3.0_CF2_4_CF3_0_CFX_2",2.7186074,0.25465688
CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,948,straight,22.0,,None,5,1,0,6,PFAA precursors_HFCs_straight_22.0_Unknown_NA_CF2_5_CF3_1_CFX_0,2.7765996,0.25679168
CCCCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,2,949,straight,12.0,,Double bond,3,1,0,4,PFAA precursors_SFAenes_straight_12.0_Unknown_NA_CF2_3_CF3_1_CFX_0,2.191139,0.2517315
Nc1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1,[ 95088122  79512453 113167786 ... 215679073 111393351  30888182],Other PFASs,Aromatic PFASs,4,950,cyclic,,6.0,Amine,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_1,2.7405622,0.2557933
CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)F,[ 19469312 110164953 107816900 ...  16631887 133380679 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,951,straight,8.0,,Ester,2,1,0,3,Polyfluoroalkyl acids_PolyFCA derivatives_straight_8.0_Ester_NA_CF2_2_CF3_1_CFX_0,2.5855455,0.2561139
COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ... 274242922  99703927 151237944],PFAAs,PFCA-ester derivatives,1,952,straight,13.0,,Ester,10,1,0,11,PFAAs_PFCA-ester derivatives_straight_13.0_Ester_NA_CF2_10_CF3_1_CFX_0,3.7693236,0.25638402
CC(=O)N1C(=O)N(NCc2cccnc2)Cc2cc(C(F)(C(F)(F)F)C(F)(F)F)ccc21,[220695665  15928446 145399841 ...   3611890  22685495  44754402],Other PFASs,Aromatic PFASs,4,953,cyclic,,6.0,Amine,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_1,2.3561664,0.22156924
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  32228994 ... 194511214 168362439 151237944],Other PFASs,Amide derivatives,4,954,straight,7.0,,Amine,5,1,0,6,Other PFASs_Amide derivatives_straight_7.0_Amine_NA_CF2_5_CF3_1_CFX_0,2.5182128,0.2546997
OCc1ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452 104111782  97181807 ... 171882282  43796935 151237944],Other PFASs,Aromatic PFASs,4,955,cyclic,,6.0,Alcohol,7,1,0,8,Other PFASs_Aromatic PFASs_cyclic_NA_Alcohol_6.0_CF2_7_CF3_1_CFX_0,3.5244074,0.24989791
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[104828107 104111782  97181807 ... 203154325  14046279 151237944],PFAA precursors,HFOs,2,956,straight,7.0,,Double bond,4,1,0,5,PFAA precursors_HFOs_straight_7.0_Unknown_NA_CF2_4_CF3_1_CFX_0,2.2524524,0.25569025
FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  12884121 ... 212683906  23638503  71007262],PFAA precursors,HFEs,2,957,straight,11.0,,Ether,4,4,3,11,PFAA precursors_HFEs_straight_11.0_Ether_NA_CF2_4_CF3_4_CFX_3,5.7106557,0.27608863
N#Cc1ccc(N)cc1C(F)(C(F)(F)F)C(F)(F)F,[343908383  79512453  24606462 ... 187714554 111393351 261466434],Other PFASs,Aromatic PFASs,4,958,cyclic,,6.0,Amine,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_1,2.4468296,0.255244
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,[ 90418993 101247092  20760171 ... 555222617 101296679  63887868],PFAA precursors,PolyFEAenes,2,959,straight,7.0,,Ether,5,0,2,7,PFAA precursors_PolyFEAenes_straight_7.0_Ether_NA_CF2_5_CF3_0_CFX_2,4.452478,0.2687407
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,960,straight,14.0,,None,10,2,0,12,PFAA precursors_HFCs_straight_14.0_Unknown_NA_CF2_10_CF3_2_CFX_0,3.3141458,0.25392333
O=S(=O)(O)c1ccccc1CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  17313015 ... 136323818  90036311  29516144],Other PFASs,Aromatic PFASs,4,961,cyclic,,6.0,Amine,7,1,0,8,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_7_CF3_1_CFX_0,4.038865,0.25414124
COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ... 274242922  99703927 151237944],PFAAs,PFCA-ester derivatives,1,962,straight,7.0,,Ester,4,1,0,5,PFAAs_PFCA-ester derivatives_straight_7.0_Ester_NA_CF2_4_CF3_1_CFX_0,2.8165193,0.2578943
COP(=O)(OC)OC(C#N)C(F)(F)C(F)(F)C(F)(F)F,[ 95360230  71278405  95504826 ... 400467667 101073367  98660130],Other PFASs,others,4,963,straight,7.0,,Phosphate,2,1,0,3,Other PFASs_others_straight_7.0_Phosphate_NA_CF2_2_CF3_1_CFX_0,3.7088718,0.26535332
C#CC(F)(F)C(F)(F)C(F)(F)F,[109264537 541103106 105689404 ...  78481900 281920279 143044428],Other PFASs,others,4,964,straight,5.0,,C#C,2,1,0,3,Other PFASs_others_straight_5.0_Unknown_NA_CF2_2_CF3_1_CFX_0,2.1351671,0.25376326
O=C1CCCCC1C(F)(F)C(F)(F)C(F)(F)F,[250618452  58869667 107816900 ...  28297836 124409255 151237944],"Other PFASs, cyclic","others, cyclic",4,965,cyclic,,6.0,Double bond,2,1,0,3,"Other PFASs, cyclic_others, cyclic_cyclic_NA_Unknown_6.0_CF2_2_CF3_1_CFX_0",2.583702,0.2603512
CCCNCCCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 291431448  23638503  71007262],Other PFASs,PFPEs,4,966,straight,17.0,,Ether,4,4,3,11,Other PFASs_PFPEs_straight_17.0_Ether_NA_CF2_4_CF3_4_CFX_3,7.2602825,0.29823026
FC(F)(F)C(I)(C(F)(F)F)C(F)(F)F,[527318388  12950160 232751249 ...  75671125 380038423 171277952],PFAA precursors,PFAIs,2,967,branched,4.0,,Halogen,0,3,0,3,PFAA precursors_PFAIs_branched_4.0_Halogen_NA_CF2_0_CF3_3_CFX_0,1.7277709,0.20540196
O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 107055568  17313015 ... 253630925 107222071  29302852],PFAAs,PFSA derivatives,1,968,straight,8.0,,Sulfonate Ester,6,2,0,8,PFAAs_PFSA derivatives_straight_8.0_Sulfonate Ester_NA_CF2_6_CF3_2_CFX_0,2.596645,0.25878534
CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,2,969,straight,13.0,,None,3,1,0,4,PFAA precursors_HFCs_straight_13.0_Unknown_NA_CF2_3_CF3_1_CFX_0,2.456517,0.2521739
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 104111782  63064138 ...  53870161 281920279 151237944],PFAA precursors,PFAIs,2,970,straight,18.0,,Halogen,17,1,0,18,PFAA precursors_PFAIs_straight_18.0_Halogen_NA_CF2_17_CF3_1_CFX_0,4.2710037,0.25195697
FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)Br,[ 18855818 154310012 373036310 ... 108841768 101296679  70269816],Other PFASs,PFPEs,4,971,straight,4.0,,Ether,3,1,0,4,Other PFASs_PFPEs_straight_4.0_Ether_NA_CF2_3_CF3_1_CFX_0,1.899334,0.2370163
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,[250618452 308272559 107816900 ...   8587256  40226743 151237944],Polyfluoroalkyl acids,PolyFCAs,3,972,straight,6.0,,Carboxylic Acid,2,1,0,3,Polyfluoroalkyl acids_PolyFCAs_straight_6.0_Carboxylic Acid_NA_CF2_2_CF3_1_CFX_0,2.0599196,0.25743037
O=S(=O)(c1ccc(F)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 67706604 104111782  17313015 ... 155853978  62378183 151237944],Other PFASs,Aromatic PFASs,4,973,cyclic,,6.0,Thioether,5,1,1,7,Other PFASs_Aromatic PFASs_cyclic_NA_Thioether_6.0_CF2_5_CF3_1_CFX_1,5.300747,0.27634865
CCCCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,974,straight,30.0,,None,7,1,0,8,PFAA precursors_HFCs_straight_30.0_Unknown_NA_CF2_7_CF3_1_CFX_0,3.116337,0.26066995
CCCCCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  90791381 107816900 ... 200578621  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,3,975,straight,12.0,,Ester,2,2,1,5,Polyfluoroalkyl acids_PolyFCA derivatives_straight_12.0_Ester_NA_CF2_2_CF3_2_CFX_1,2.82293,0.25372392
CN(C)[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)N(C)C,[250618452 104111782  97181807 ... 155856821  43796935 151237944],Other PFASs,Si PFASs,4,976,straight,13.0,,Amine,5,1,0,6,Other PFASs_Si PFASs_straight_13.0_Amine_NA_CF2_5_CF3_1_CFX_0,2.928992,0.25489178
CCOC(=O)c1ccc(SC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452  56413738  14316170 ...  53086222  51068567  29302852],Other PFASs,Aromatic PFASs,4,977,cyclic,,6.0,Ester,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Ester_6.0_CF2_3_CF3_1_CFX_0,3.026032,0.23633681
OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  58849484  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,978,straight,13.0,,Alcohol,9,1,0,10,PFAA precursors_n:2 fluorotelomer-based substances_straight_13.0_Alcohol_NA_CF2_9_CF3_1_CFX_0,3.1886039,0.25206432
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 104111782  97181807 ... 171882282  43796935  24985098],Other PFASs,Polyfluoroalkanes,4,979,straight,15.0,,Halogen,12,1,0,13,Other PFASs_Polyfluoroalkanes_straight_15.0_Halogen_NA_CF2_12_CF3_1_CFX_0,3.7577548,0.25212368
